"","Sample","ArchAmoA","Depth_Cat","Depth"
"1","ENV10CTDUTK13",3.285885946,"Epipelagic",86
"2","ENV10CTDUTK13",3.641260028,"Epipelagic",86
"3","ENV10CTDUTK23",1.85928685,"Bathypelagic",1207
"4","ENV10CTDUTK23",2.071170885,"Bathypelagic",1207
"5","ENV10CTDUTKNB",1.723988715,"Bathypelagic",1792
"6","ENV10CTDUTKNS",3.778595445,"Epipelagic",5
"7","ENV10CTDUTKNS",3.979831528,"Epipelagic",5
"8","ENV14CTDUTK13",3.539384544,"Epipelagic",125
"9","ENV14CTDUTK13",3.689156424,"Epipelagic",125
"10","ENV14CTDUTKNS",3.536151741,"Epipelagic",5
"11","ENV14CTDUTKNS",3.519944963,"Epipelagic",5
"12","ENV19CTDUTK13",3.333847235,"Epipelagic",173
"13","ENV19CTDUTK13",3.334016959,"Epipelagic",173
"14","ENV19CTDUTKNB",2.390482995,"Bathypelagic",1178
"15","ENV19CTDUTKNB",2.425627618,"Bathypelagic",1178
"16","ENV19CTDUTKNS",2.735422424,"Epipelagic",5
"17","ENV19CTDUTKNS",2.58639484,"Epipelagic",5
"18","ENV8CTDUTK13",2.091009458,"Epipelagic",128
"19","ENV8CTDUTK13",2.537056487,"Epipelagic",128
"20","ENV8CTDUTK23",2.45435038,"Bathypelagic",1479
"21","ENV8CTDUTK23",2.033963587,"Bathypelagic",1479
"22","ENV8CTDUTKNB",2.617917212,"Bathypelagic",2195
"23","ENV8CTDUTKNB",1.912897847,"Bathypelagic",2195
"24","ENV8CTDUTKNS",3.870713236,"Epipelagic",5
"25","ENV8CTDUTKNS",4.02265022,"Epipelagic",5
